text,category
water leaking from pipe,plumber
pipe burst in bathroom,plumber
tap is dripping continuously,plumber
sink is clogged,plumber
water overflowing from tank,plumber
leak under kitchen sink,plumber
bathroom drainage blocked,plumber
low water pressure in tap,plumber
pipe cracked near wall,plumber
toilet flush not working,plumber
geyser not heating water,plumber
water heater leaking,plumber
shower head broken,plumber
drain smell bad,plumber
toilet seat broken,plumber
washbasin tap loose,plumber
no hot water coming,plumber
bathroom tap making noise,plumber
water tank overflow,plumber
kitchen sink drainage slow,plumber
toilet water continuously running,plumber
pipe connection loose,plumber
water coming from ceiling,plumber
faucet handle broken,plumber
bathtub drain blocked,plumber
water meter reading wrong,plumber
main water line problem,plumber
garden tap not working,plumber
water supply stopped,plumber
bathroom floor always wet,plumber
short circuit in house,electrician
switch board sparking,electrician
power outage in one room,electrician
fan not working,electrician
light flickering,electrician
electric shock from switch,electrician
wire burnt smell,electrician
fuse blown frequently,electrician
socket not working,electrician
main power trip problem,electrician
ceiling fan making noise,electrician
light bulb keeps burning out,electrician
dimmer switch not working,electrician
chandelier installation needed,electrician
electrical panel upgrade,electrician
circuit breaker keeps tripping,electrician
doorbell not ringing,electrician
outdoor lights not working,electrician
power surge issue,electrician
emergency light not charging,electrician
kitchen chimney wiring problem,electrician
geyser switch sparking,electrician
no power in entire house,electrician
electric meter not working,electrician
inverter installation required,electrician
solar panel wiring needed,electrician
generator connection required,electrician
mcb replacement needed,electrician
voltage fluctuation problem,electrician
new light point installation,electrician
extension board making noise,electrician
electric motor not starting,electrician
pump motor wiring issue,electrician
kitchen socket overheating,electrician
cctv camera installation,electrician
ac not cooling properly,ac_technician
air conditioner making noise,ac_technician
ac leaking water,ac_technician
ac remote not working,ac_technician
ac not turning on,ac_technician
split ac gas refill needed,ac_technician
ac cooling very low,ac_technician
ac compressor issue,ac_technician
window ac problem,ac_technician
ac showing error code,ac_technician
ac blowing hot air,ac_technician
ac ice formation,ac_technician
ac drain pipe blocked,ac_technician
ac thermostat not working,ac_technician
split ac indoor unit problem,ac_technician
ac outdoor unit not running,ac_technician
ac making rattling sound,ac_technician
ac filter cleaning required,ac_technician
ac installation needed,ac_technician
central ac not working,ac_technician
cassette ac problem,ac_technician
ductable ac issue,ac_technician
ac pcb board problem,ac_technician
ac capacitor replacement,ac_technician
ac coil cleaning needed,ac_technician
ac fan not rotating,ac_technician
ac electrical fault,ac_technician
ac servicing required,ac_technician
ac uninstallation needed,ac_technician
portable ac repair,ac_technician
door hinge broken,carpenter
wooden cupboard repair,carpenter
table leg broken,carpenter
door not closing properly,carpenter
bed making noise,carpenter
wooden chair repair,carpenter
window frame damaged,carpenter
furniture fitting required,carpenter
drawer stuck problem,carpenter
wardrobe repair needed,carpenter
modular kitchen installation,carpenter
false ceiling work,carpenter
wooden partition required,carpenter
door lock alignment,carpenter
cabinet door hanging loose,carpenter
wooden flooring work,carpenter
bed headboard repair,carpenter
dining table wobbling,carpenter
bookshelf installation,carpenter
wall panel fixing,carpenter
cupboard handle broken,carpenter
sliding door not moving,carpenter
wooden staircase repair,carpenter
shelf installation needed,carpenter
study table repair,carpenter
tv unit installation,carpenter
wooden gate repair,carpenter
